game,difficulty,model,model_short,provider,timestamp,run_id,repeat,total_score,Executability,Executability Contribution,Functionality,Functionality Contribution,Code Quality,Code Quality Contribution,UX,UX Contribution
snake,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_110524,20260430_110524,1,0.7710000000000001,1.0,0.2,0.8,0.4,0.44,0.066,0.7,0.105
snake,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_110524,20260430_110524,1,0.8130000000000001,1.0,0.2,0.8,0.4,0.72,0.108,0.7,0.105
snake,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_110524,20260430_110524,1,0.8160000000000001,1.0,0.2,0.8,0.4,0.64,0.096,0.8,0.12
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_110524,20260430_110524,1,0.7265,1.0,0.2,0.6,0.3,0.65,0.0975,0.86,0.129
flappy_bird,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_110524,20260430_110524,1,0.719,1.0,0.2,0.6,0.3,0.6,0.09,0.86,0.129
flappy_bird,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_110524,20260430_110524,1,0.734,1.0,0.2,0.6,0.3,0.7,0.105,0.86,0.129
dodge_blocks,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_110524,20260430_110524,1,0.7525000000000001,1.0,0.2,0.7,0.35,0.62,0.093,0.73,0.1095
dodge_blocks,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_110524,20260430_110524,1,0.7705000000000001,1.0,0.2,0.7,0.35,0.61,0.0915,0.86,0.129
dodge_blocks,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_110524,20260430_110524,1,0.772,1.0,0.2,0.7,0.35,0.62,0.093,0.86,0.129
pong,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_110524,20260430_110524,1,0.7175,1.0,0.2,0.6,0.3,0.64,0.096,0.81,0.1215
pong,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_110524,20260430_110524,1,0.722,1.0,0.2,0.6,0.3,0.62,0.093,0.86,0.129
pong,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_110524,20260430_110524,1,0.7145,1.0,0.2,0.6,0.3,0.57,0.08549999999999999,0.86,0.129
tetris,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_110524,20260430_110524,1,0.6859999999999999,1.0,0.2,0.6,0.3,0.5,0.075,0.74,0.111
tetris,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_110524,20260430_110524,1,0.719,1.0,0.2,0.6,0.3,0.72,0.108,0.74,0.111
tetris,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_110524,20260430_110524,1,0.7085,1.0,0.2,0.6,0.3,0.59,0.0885,0.8,0.12
space_invaders,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_110524,20260430_110524,1,0.453,0.0,0.0,0.6,0.3,0.49,0.0735,0.53,0.0795
space_invaders,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_110524,20260430_110524,1,0.734,1.0,0.2,0.6,0.3,0.7,0.105,0.86,0.129
space_invaders,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_110524,20260430_110524,1,0.5175,0.0,0.0,0.6,0.3,0.79,0.1185,0.66,0.099
pacman,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_110524,20260430_110524,1,0.707,1.0,0.2,0.6,0.3,0.52,0.078,0.86,0.129
pacman,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_110524,20260430_110524,1,0.7325,1.0,0.2,0.6,0.3,0.69,0.1035,0.86,0.129
pacman,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_110524,20260430_110524,1,0.725,1.0,0.2,0.6,0.3,0.64,0.096,0.86,0.129
super_mario_bros,medium,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_110524,20260430_110524,1,0.48,0.0,0.0,0.6,0.3,0.54,0.081,0.66,0.099
super_mario_bros,medium,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_110524,20260430_110524,1,0.725,1.0,0.2,0.6,0.3,0.64,0.096,0.86,0.129
super_mario_bros,medium,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_110524,20260430_110524,1,0.49049999999999994,0.0,0.0,0.6,0.3,0.61,0.0915,0.66,0.099
roguelike_dungeon,hard,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_110524,20260430_110524,1,0.66,1.0,0.2,0.5,0.25,0.54,0.081,0.86,0.129
roguelike_dungeon,hard,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_110524,20260430_110524,1,0.6945,1.0,0.2,0.5,0.25,0.77,0.11549999999999999,0.86,0.129
roguelike_dungeon,hard,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_110524,20260430_110524,1,0.687,1.0,0.2,0.5,0.25,0.72,0.108,0.86,0.129
tower_defense,hard,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_110524,20260430_110524,1,0.713,1.0,0.2,0.6,0.3,0.48,0.072,0.94,0.141
tower_defense,hard,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_110524,20260430_110524,1,0.477,0.0,0.0,0.6,0.3,0.52,0.078,0.66,0.099
tower_defense,hard,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_110524,20260430_110524,1,0.49949999999999994,0.0,0.0,0.6,0.3,0.59,0.0885,0.74,0.111
snake,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_111957,20260430_111957,2,0.7710000000000001,1.0,0.2,0.8,0.4,0.44,0.066,0.7,0.105
snake,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_111957,20260430_111957,2,0.8160000000000001,1.0,0.2,0.8,0.4,0.74,0.111,0.7,0.105
snake,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_111957,20260430_111957,2,0.804,1.0,0.2,0.8,0.4,0.66,0.099,0.7,0.105
flappy_bird,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_111957,20260430_111957,2,0.719,1.0,0.2,0.6,0.3,0.6,0.09,0.86,0.129
flappy_bird,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_111957,20260430_111957,2,0.74,1.0,0.2,0.6,0.3,0.74,0.111,0.86,0.129
flappy_bird,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_111957,20260430_111957,2,0.486,0.0,0.0,0.6,0.3,0.58,0.087,0.66,0.099
dodge_blocks,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_111957,20260430_111957,2,0.5375,0.0,0.0,0.7,0.35,0.64,0.096,0.61,0.0915
dodge_blocks,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_111957,20260430_111957,2,0.5315,0.0,0.0,0.7,0.35,0.55,0.0825,0.66,0.099
dodge_blocks,easy,qwen.qwen3-coder-next,Qwen Coder,bedrock,20260430_111957,20260430_111957,2,0.766,1.0,0.2,0.7,0.35,0.58,0.087,0.86,0.129
pong,easy,amazon.nova-pro-v1:0,Nova Pro,bedrock,20260430_111957,20260430_111957,2,0.6479999999999999,1.0,0.2,0.5,0.25,0.57,0.08549999999999999,0.75,0.11249999999999999
pong,easy,deepseek.v3.2,DeepSeek V3.2,bedrock,20260430_111957,20260430_111957,2,0.5175,0.0,0.0,0.6,0.3,0.79,0.1185,0.66,0.099
